Timestamp,Responden,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
11/6/2024 8:44,R1,3,4,1,3,4,1,3,3,4
11/6/2024 9:29,R2,5,2,1,3,3,1,2,3,1
11/6/2024 10:10,R3,3,5,5,3,5,3,3,5,5
11/6/2024 11:03,R4,2,3,1,2,3,1,1,2,1
11/6/2024 11:19,R5,4,4,2,4,4,2,4,4,5
11/6/2024 12:23,R6,3,3,1,3,3,2,3,4,2
11/6/2024 14:18,R7,4,4,2,5,4,3,4,5,3
11/6/2024 18:14,R8,3,3,1,3,3,2,4,3,3
11/6/2024 18:14,R9,4,4,2,3,3,3,3,3,3
11/6/2024 18:15,R10,4,4,2,3,3,3,3,3,3
11/6/2024 18:15,R11,1,2,2,3,2,2,2,3,1
11/6/2024 18:16,R12,3,1,1,2,2,1,1,1,1
11/6/2024 18:16,R13,3,2,3,3,2,3,5,3,4
11/6/2024 18:17,R14,3,3,3,3,3,3,3,3,3
11/6/2024 18:17,R15,2,2,1,2,3,2,2,3,1
11/6/2024 18:22,R16,4,3,5,3,3,4,4,3,5
11/6/2024 18:23,R17,3,3,2,2,1,2,3,2,2
11/6/2024 18:24,R18,3,3,5,3,3,5,4,2,5
11/6/2024 19:21,R19,2,2,1,3,3,1,3,3,2
11/6/2024 22:42,R20,5,5,3,5,3,4,5,5,5
